State,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Vehicle theft
MAINE,2004,685968,654079,31889,4.648759126,1317253,1364,18,315,289,742,31740,6341,24096,1303
OHIO,2004,5853726,5487221,366505,6.261054925,11459011,39163,517,4646,17543,16457,420910,96954,283103,40853
TEXAS,2008,11677749,11110513,567236,4.857408735,24326974,123564,1374,8014,37753,76423,969570,230123,654097,85350
NEW MEXICO,2009,928376,862690,65686,7.075366015,2009671,12440,175,1057,1870,9338,75078,22022,46580,6476
WISCONSIN,2002,3016764,2856237,160527,5.321165328,5441196,12238,154,1237,4713,6134,164749,27926,123365,13458
SOUTH DAKOTA,2014,450773,435736,15037,3.335825349,853175,2786,20,470,200,2096,15902,2818,12077,1007
RHODE ISLAND,2010,571506,504957,66549,11.64449717,1052567,2701,29,296,780,1596,26910,6121,18390,2399
MICHIGAN,2019,4976013,4773456,202557,4.070668626,9986857,43686,556,7235,5350,30545,158296,28572,111980,17744
OHIO,2011,5773487,5263733,509754,8.829222271,11544951,35484,513,3631,16057,15283,387297,112709,253520,21068
MINNESOTA,2017,3071011,2963832,107179,3.490023318,5576606,13291,113,2385,3621,7172,122212,18787,93446,9979
OREGON,2016,2042936,1946236,96700,4.733383718,4093465,10830,113,1721,2278,6718,121345,16866,91286,13193
WYOMING,2010,301894,280952,20942,6.936871882,563626,1104,8,164,76,856,13874,2149,11134,591
TEXAS,2016,13346855,12728903,617952,4.629944657,27862596,121042,1478,13367,33317,72880,768947,148740,551151,69056
NEBRASKA,2019,1051560,1018711,32849,3.123835064,1934408,5821,45,1253,792,3731,39449,4745,29719,4985
SOUTH DAKOTA,2001,413499,401073,12426,3.005085865,756600,1171,7,351,103,710,16473,3087,12571,815
ALABAMA,2018,2240111,2152268,87843,3.921368182,4887871,25399,383,1996,4076,18944,137700,28841,95747,13112
ALABAMA,2013,2172103,2012829,159274,7.33270936,4833722,20826,347,2044,4648,13787,161993,42429,108993,10571
COLORADO,2010,2715726,2467000,248726,9.158729563,5029196,16133,120,2198,3132,10683,134992,26153,97592,11247
MASSACHUSETTS,2019,3841327,3725146,116181,3.024501689,6892503,22578,152,2204,3613,16609,81317,12341,62844,6132
IDAHO,2011,764208,701661,62547,8.18455185,1584985,3184,36,435,184,2529,32787,6920,24534,1333
VIRGINIA,2014,4258861,4040912,217949,5.117541991,8326289,16340,338,2310,4292,9400,160720,23122,129933,7665
OREGON,2011,1995934,1804259,191675,9.603273455,3871859,9586,82,1217,2222,6065,120594,20448,91099,9047
NEW MEXICO,2015,938301,876206,62095,6.617812408,2085109,13681,117,1672,2485,9407,77094,17085,51483,8526
FLORIDA,2018,10118319,9749606,368713,3.644014386,21299325,81980,1107,8438,16884,55551,486017,71933,372919,41165
MAINE,2005,695294,661183,34111,4.905982218,1321505,1483,19,326,323,815,31889,6323,24218,1348
NEW MEXICO,2004,890467,841004,49463,5.554725779,1903289,13081,169,1039,2062,9811,79895,19924,52069,7902
ARKANSAS,2010,1353637,1247058,106579,7.873528871,2915918,14735,138,1312,2372,10913,103775,32511,65720,5544
ALABAMA,2002,2112630,1987637,124993,5.916464312,4486508,19931,303,1664,5962,12002,180400,42578,123932,13890
NEVADA,2007,1344206,1282411,61795,4.597137641,2565382,19257,192,1096,6932,11037,96916,24840,49745,22331
WISCONSIN,2000,2985644,2884739,100905,3.379672861,5363675,12700,169,1165,4537,6829,159424,25183,119605,14636
WEST VIRGINIA,2017,784740,743786,40954,5.218798583,1815857,6368,85,795,524,4964,33630,7628,23000,3002
KENTUCKY,2007,2035500,1925717,109783,5.393416851,4241474,12513,204,1381,4069,6859,106813,27683,70455,8675
DELAWARE,2007,445305,429202,16103,3.616173185,864764,5960,37,336,1706,3881,29143,6341,20486,2316
UTAH,2004,1231741,1170048,61693,5.008601646,2389039,5639,46,933,1236,3424,97607,15221,74735,7651
NEW HAMPSHIRE,2003,708924,677383,31541,4.449137002,1287687,1916,18,427,478,993,26448,4552,19979,1917
SOUTH CAROLINA,2015,2267838,2134087,133751,5.897731672,4896146,24700,399,2297,3931,18073,161245,34551,113724,12970
VIRGINIA,2007,4039427,3906633,132794,3.287446462,7712091,20798,406,1745,7651,10996,190209,31688,144467,14054
GEORGIA,2012,4770634,4339379,431255,9.039783811,9919945,37591,581,2124,12463,22423,338329,86789,223004,28536
RHODE ISLAND,2008,568231,525189,43042,7.574736331,1050788,2621,29,277,879,1436,29849,5750,20899,3200
NEBRASKA,2013,1014835,977466,37369,3.682273473,1868516,4897,57,801,1040,2999,49018,8900,35655,4463
IDAHO,2014,776944,742807,34137,4.39375296,1634464,3468,32,609,204,2623,30316,6428,22227,1661
ALASKA,2002,327053,303560,23493,7.183239414,643786,3627,33,511,489,2594,24118,3908,17739,2471
TENNESSEE,2000,2849029,2738788,110241,3.869423583,5689283,40233,410,2186,9465,28172,237985,56344,154111,27530
SOUTH CAROLINA,2010,2174538,1928445,246093,11.31702458,4625364,27648,280,1466,4982,20920,180407,46156,121054,13197
NEW HAMPSHIRE,2008,742894,715088,27806,3.742929678,1315809,2069,13,391,419,1246,27526,4286,21853,1387
MASSACHUSETTS,2011,3484135,3232456,251679,7.223571991,6587536,28219,185,1628,6768,19638,148790,36533,101471,10786
HAWAII,2016,679121,659558,19563,2.88063541,1428557,4417,35,619,994,2769,42753,6017,31082,5654
NEBRASKA,2007,979056,950325,28731,2.934561455,1774571,5367,68,527,1108,3664,56102,9046,41855,5201
WYOMING,2015,301612,288896,12716,4.216012625,586107,1302,16,173,59,1054,11151,1762,8797,592
UTAH,2013,1385911,1327562,58349,4.210154909,2900872,6498,49,1422,1243,3784,85586,13333,64788,7465
OKLAHOMA,2012,1794904,1703629,91275,5.085230185,3814820,17902,216,1588,3231,12867,129743,35731,82448,11564
ALASKA,2004,337470,312396,25074,7.429993777,655435,4159,37,558,447,3117,22172,3773,16159,2240
SOUTH DAKOTA,2016,455136,441422,13714,3.013165296,865454,3621,27,509,272,2813,17141,3000,12639,1502
NORTH DAKOTA,2015,410768,399297,11471,2.79257391,756927,1812,21,345,148,1298,16020,2997,11440,1583
UTAH,2017,1554351,1505412,48939,3.148516648,3101833,7410,73,1697,1468,4172,86238,11817,64892,9529
RHODE ISLAND,2002,550244,522201,28043,5.096466295,1069725,3051,41,395,916,1699,35342,6415,24051,4876
MINNESOTA,2018,3075098,2982665,92433,3.005855423,5611179,12369,106,2462,2944,6857,111874,16185,85561,10128
NEVADA,2004,1178652,1126205,52447,4.449744284,2334771,14379,172,954,4905,8348,98215,23142,52438,22635
OKLAHOMA,2011,1767063,1668239,98824,5.592556689,3791508,17243,208,1403,3282,12350,127252,36341,79880,11031
NEBRASKA,2001,945376,915664,29712,3.142876485,1713235,5214,43,431,1128,3612,68963,9760,52713,6490
HAWAII,2003,603938,580353,23585,3.90520219,1257608,3400,22,367,1168,1843,65867,11409,44807,9651
MAINE,2001,674964,649637,25327,3.752348273,1286670,1434,18,326,264,826,33154,6898,24585,1671
NEW YORK,2014,9523570,8925330,598240,6.281677984,19746227,75398,617,5433,24045,45303,339282,50781,272765,15736
NEW HAMPSHIRE,2011,736785,696594,40191,5.454915613,1318194,2478,17,429,474,1558,30106,5749,23383,974
COLORADO,2004,2539396,2397591,141805,5.584201913,4601403,17185,203,1956,3750,11276,180342,33008,123271,24063
CALIFORNIA,2015,18824146,17647412,1176734,6.251194609,39144818,166883,1861,12811,52862,99349,1024914,197404,656517,170993
MISSISSIPPI,2011,1345999,1214640,131359,9.759219732,2978512,8036,239,865,2492,4440,90115,30907,54283,4925
WEST VIRGINIA,2007,804315,765519,38796,4.823483337,1812035,4987,64,369,852,3702,45753,10814,31447,3492
RHODE ISLAND,2001,541663,517533,24130,4.454799386,1058920,3278,39,416,986,1837,35742,6824,23875,5043
WEST VIRGINIA,2010,810107,739895,70212,8.667003248,1852994,5830,62,354,828,4586,41500,10756,28383,2361
TEXAS,2005,11172715,10561389,611326,5.471597548,22859968,121091,1407,8511,35790,75383,990293,219828,677042,93423
COLORADO,2014,2800673,2661077,139596,4.984373399,5355866,16554,151,3039,3039,10325,135510,23472,99464,12574
MAINE,2007,699745,667065,32680,4.670272742,1317207,1554,21,391,349,793,31992,6676,24057,1259
NEW JERSEY,2009,4540306,4133369,406937,8.962765946,8707739,27121,319,1041,11639,14122,181097,37262,128327,15508
ARKANSAS,2017,1348098,1297863,50235,3.72636114,3004279,16671,258,2053,1935,12425,92489,21862,63374,7253
HAWAII,2000,605394,579736,25658,4.238231631,1211537,2954,35,346,1123,1450,60033,10665,43254,6114
ARIZONA,2003,2728647,2571096,157551,5.773960501,5580811,28638,441,1856,7619,18722,314335,58613,198725,56997
WYOMING,2014,302865,289693,13172,4.349132452,584153,1142,16,174,53,899,11477,1689,9185,603
CALIFORNIA,2011,18406759,16220604,2186155,11.87691434,37691912,154944,1792,7663,54292,91197,973901,230090,596963,146848
NEW MEXICO,2014,931955,870571,61384,6.586584116,2085572,12459,101,1475,2086,8797,73877,18505,49082,6290
KENTUCKY,2009,2064857,1842094,222763,10.78830156,4314113,11159,178,1509,3629,5843,108401,29701,72620,6080
NEW MEXICO,2018,944937,898362,46575,4.928900022,2095428,17949,167,1354,2830,13598,71657,16088,45390,10179
DELAWARE,2009,438383,401718,36665,8.36369111,885122,5635,41,338,1671,3585,29648,6932,20809,1907
GEORGIA,2016,4921819,4653744,268075,5.446665146,10310371,40990,681,3509,12205,24595,309770,63344,219625,26801
DISTRICT OF COLUMBIA,2003,308454,285997,22457,7.280502117,563384,9060,249,274,3941,4596,32678,4671,18104,9903
WYOMING,2000,265703,255727,9976,3.75456807,493782,1316,12,160,70,1074,14969,2078,12318,573
WEST VIRGINIA,2009,811273,743873,67400,8.307930869,1819777,5396,84,433,917,3962,45981,11951,31289,2741
CONNECTICUT,2017,1923713,1838835,84878,4.412196622,3588184,8180,102,837,2813,4428,63509,8890,47310,7309
WYOMING,2003,272805,260993,11812,4.329832664,501242,1314,14,136,84,1080,16648,2611,13239,798
ALABAMA,2014,2164721,2018707,146014,6.74516485,4849377,20727,276,2005,4701,13745,154094,39715,104238,10141
ALASKA,2008,355301,332364,22937,6.455653094,686293,4474,28,441,645,3360,20124,3240,15246,1638
IDAHO,2017,839780,812877,26903,3.203577127,1716943,3888,32,707,196,2953,28079,5655,20278,2146
INDIANA,2010,3175894,2854847,321047,10.10887013,6483802,20389,292,1761,6219,12117,197260,47115,137027,13118
UTAH,2002,1179441,1112585,66856,5.668448019,2316256,5488,47,943,1140,3358,97641,15124,74795,7722
MINNESOTA,2019,3108690,3007378,101312,3.258993338,5639632,13332,117,2448,3149,7618,117236,15927,90092,11217
NORTH DAKOTA,2013,401512,389923,11589,2.886339636,723393,1954,16,330,162,1446,15148,2934,10798,1416
NEW JERSEY,2002,4345276,4094390,250886,5.773764428,8590300,32168,337,1347,13905,16579,227621,43898,147984,35739
NEW YORK,2004,9359935,8816055,543880,5.810724113,19227088,84914,889,3608,33506,46911,422734,70696,311036,41002
TEXAS,2007,11441087,10940188,500899,4.378071769,23904380,122054,1420,8439,38769,73426,985142,228313,662930,93899
NORTH CAROLINA,2007,4528607,4297696,230911,5.098941021,9061032,42262,585,2385,13548,25744,370354,108800,233588,27966
MONTANA,2003,470511,448255,22256,4.73017634,917621,3351,30,246,298,2777,28428,3722,22800,1906
WASHINGTON,2009,3463712,3176728,286984,8.285446365,6664195,22056,179,2539,6699,12639,244368,52791,167897,23680
GEORGIA,2005,4598172,4336273,261899,5.695719951,9072576,40725,564,2143,14041,23977,378534,84463,249594,44477
FLORIDA,2014,9546411,8931440,614971,6.441907854,19893297,107521,1149,8563,24914,72895,679446,143220,493647,42579
NORTH DAKOTA,2003,347107,335098,12009,3.45974008,633837,493,12,151,51,279,13286,1941,10267,1078
MARYLAND,2005,2931579,2799960,131619,4.489696508,5600388,39369,552,1266,14378,23173,198483,35922,128491,34070
RHODE ISLAND,2017,568146,542552,25594,4.504827984,1059639,2460,20,445,474,1521,18561,3217,13861,1483
NEBRASKA,2017,1023170,992745,30425,2.97360165,1920076,5873,43,1191,968,3671,43663,6472,31988,5203
MINNESOTA,2010,2940695,2722621,218074,7.415729955,5303925,12515,96,1798,3388,7233,136431,24415,103429,8587
NEW YORK,2003,9283809,8689955,593854,6.396663266,19190115,89265,934,3773,35758,48800,431448,75493,310738,45217
LOUISIANA,2010,2084466,1927722,156744,7.519623731,4533372,24886,510,1233,5211,17932,165357,45435,110029,9893
KENTUCKY,2012,2060098,1891116,168982,8.202619487,4380415,9752,195,1272,3535,4750,111826,29587,75571,6668
OKLAHOMA,2001,1672632,1611755,60877,3.639593168,3460097,17726,185,1486,2746,13309,141679,34573,94537,12569
