State,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Vehicle theft
CONNECTICUT,2016,1893198,1801389,91809,4.849413532,3576452,8123,78,763,2703,4579,64664,10045,47512,7107
OKLAHOMA,2010,1765710,1650504,115206,6.524627487,3751351,17987,195,1450,3337,13005,128126,37476,80460,10190
INDIANA,2013,3193688,2953675,240013,7.515230041,6570902,23487,355,2142,7108,13882,187536,42909,130423,14204
CONNECTICUT,2015,1892088,1785789,106299,5.618079075,3590886,7845,117,773,2892,4063,65066,10053,48675,6338
IOWA,2012,1660190,1576241,83949,5.056589908,3074186,8112,45,871,962,6234,69839,17096,48720,4023
SOUTH DAKOTA,2003,421530,406903,14627,3.469978412,764309,1325,10,354,104,857,15299,2873,11552,874
ARKANSAS,2000,1260517,1207840,52677,4.178999569,2673400,11904,168,848,2001,8887,98115,21443,69740,6932
NEW YORK,2018,9826134,9424214,401920,4.0903167,19542209,68495,562,6575,18187,43171,281507,31137,237233,13137
MONTANA,2007,505098,488132,16966,3.358952124,957861,2754,14,290,191,2259,26489,3027,21707,1755
CALIFORNIA,2002,17246533,16081472,1165061,6.755334536,35116033,208388,2395,10198,64968,130827,1176484,238428,715692,222364
NEVADA,2003,1150380,1089894,60486,5.257914776,2241154,13765,197,874,5162,7532,96109,21977,53294,20838
NORTH CAROLINA,2009,4613205,4104080,509125,11.03625354,9380884,37929,494,2306,11825,23304,344098,107830,216244,20024
ARKANSAS,2018,1343869,1294814,49055,3.650281389,3013825,16384,216,2196,1594,12378,87793,19193,61487,7113
KENTUCKY,2014,2006530,1877560,128970,6.427514166,4413457,9340,160,1440,3336,4404,99166,23244,69604,6318
KENTUCKY,2008,2038233,1906277,131956,6.474039033,4269245,12646,198,1408,4004,7036,110314,28839,73808,7667
PENNSYLVANIA,2018,6509784,6222012,287772,4.420607504,12807060,39192,784,4483,9848,24077,190816,27104,150596,13116
VIRGINIA,2002,3739501,3576528,162973,4.35814832,7293542,21256,388,1839,6961,12068,207783,31757,157548,18478
TENNESSEE,2009,3032680,2725147,307533,10.14063469,6296254,42041,461,1993,9647,29940,236365,63646,157746,14973
MICHIGAN,2002,5034731,4723289,311442,6.185871698,10050446,54306,678,5364,11847,36417,335060,70970,214367,49723
OREGON,2018,2080050,1996490,83560,4.017211125,4190713,11966,82,1975,2549,7360,121278,16304,88418,16556
MAINE,2010,697833,638986,58847,8.432819887,1328361,1621,24,389,414,794,32934,7359,24585,990
UTAH,2009,1373842,1274209,99633,7.252143987,2784572,5924,37,905,1299,3683,91205,15159,69142,6904
RHODE ISLAND,2009,571207,505932,65275,11.42755603,1053209,2660,31,287,786,1556,27497,5749,19355,2393
VIRGINIA,2010,4163306,3858474,304832,7.32187353,8001024,17087,369,1532,5657,9529,186196,30629,145019,10548
GEORGIA,2011,4739290,4258837,480453,10.13765775,9815210,36634,554,2053,12148,21879,355952,95657,230820,29475
DELAWARE,2011,443971,410229,33742,7.600045949,907135,5075,41,289,1538,3207,30939,7531,21878,1530
MONTANA,2017,528443,506873,21570,4.081802579,1050493,3961,41,613,295,3012,27225,3615,21018,2592
HAWAII,2011,660635,615470,45165,6.836604176,1374810,3949,17,434,1042,2456,45889,10008,31697,4184
LOUISIANA,2008,2064698,1968679,96019,4.650510632,4410796,28944,527,1232,5994,21191,168630,43320,111567,13743
GEORGIA,2002,4341633,4111634,229999,5.297522845,8560310,39271,606,2108,13432,23125,346559,73932,234591,38036
TEXAS,2001,10539151,10014838,524313,4.974907372,21325018,122155,1332,8169,35348,77306,976654,204362,669625,102667
NEW MEXICO,2016,944245,880516,63729,6.749201743,2081015,14619,139,1526,2737,10217,81931,17281,52907,11743
RHODE ISLAND,2015,555273,521768,33505,6.033968877,1056298,2562,29,459,556,1518,20043,3947,14707,1389
IDAHO,2005,730361,701401,28960,3.965162433,1429096,3670,35,577,266,2792,38556,8066,27606,2884
CALIFORNIA,2016,19012023,17965411,1046612,5.505000704,39250017,174796,1930,13702,54789,104375,1002070,188304,637010,176756
SOUTH CAROLINA,2004,2043862,1891719,152143,7.443897876,4198068,32922,288,1718,5446,25470,189113,43425,130051,15637
KANSAS,2003,1441071,1361118,79953,5.548165219,2723507,10771,123,1042,2246,7360,108777,21887,79113,7777
